Project Code	Process ID	Sample ID	BIN	COI-5P Seq. Length	COI-5P Trace Count	COI-5P Accession	Image Count	Barcode Compliant	Flagged Record	Field ID	Museum ID	Collection Code	Institution Storing	Phylum	Class	Order	Family	Subfamily	Genus	Species	Identifier	Identifier Email	Identification Method	Taxonomy Notes	Sex	Reproduction	Extra Info	Notes	Voucher Status	Tissue Descriptor	Associated Taxa	Associated Specimens	Collectors	Collection Date	Country/Ocean	State/Province	Region	Sector	Exact Site	Lat	Lon	Elev	Elevation Precision	GPS Source	Collection Date Accuracy	Habitat	Sampling Protocol	Collection Notes
ASILO	ASILO001-17	CCDB-31120-A01		312[0n]	4.0	MG967903	1	No			USNM ENT 00876915	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Apioceridae		Apiocera		USNM Curators				M				Vouchered:Registered Collection	Tissue			A.Menke	29-Jul-1982	United States	Utah			Garfield,Calf Creek	37.8292	-111.42				-1.0			
ASILO	ASILO002-17	CCDB-31120-A02		307[0n]	4.0	MG968053	1	No			USNM ENT 00870009	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Apiophorinae	Miltinus	Miltinus minutus	USNM Curators				F				Vouchered:Registered Collection	Tissue			T.Dikow, J.Hort, F.Hort	09-Dec-2011	Australia	Western Australia			Wandoo National Park, Little Darkin Swamp area, off Warrigal Road	-32.0569	116.509	265.0				Swamp		
ASILO	ASILO003-17	CCDB-31120-A03		0[n]	4.0		1	No			USNM ENT 00890369	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Diochlistinae	Diochlistus	Diochlistus melleipennis	USNM Curators				M				Vouchered:Registered Collection	Tissue			R.Burrell	16-Dec-1930	Australia	New South Wales			Woy Woy	-33.4853	151.325							
ASILO	ASILO004-17	CCDB-31120-A04		381[1n]	4.0	MG968233	1	No			USNM ENT 00779774	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Diochlistinae	Mitrodetus		USNM Curators				M				Vouchered:Registered Collection	Tissue			J.Asher, A.Kawahara	30-Nov-2004	Chile	Valparaiso			Aguas Claras near Zapallar	-32.5947	-71.4194							
ASILO	ASILO005-17	CCDB-31120-A05		213[0n]	4.0	MG968254	1	No			USNM ENT 00890392	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Ectyphinae	Heteromydas	Heteromydas bicolor	USNM Curators				M				Vouchered:Registered Collection	Tissue			D.Hardy	23-Jul-1940	United States	California	Kern County		Onyx	35.6833	-118.21700000000001							
ASILO	ASILO006-17	CCDB-31120-A06		0[n]	4.0		1	No			USNM ENT 00951011	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Ectyphinae	Opomydas	Opomydas limbatus	USNM Curators				F				Vouchered:Registered Collection	Tissue			E.Fisher, R.Westcott	04-Jul-1973	Mexico	Baja California Sur			Bahia Concepcion, 25.7 km Southeast of Mulege	26.7214	-111.91				-1.0			
ASILO	ASILO007-17	CCDB-31120-A07	BOLD:ADK8958	658[0n]	4.0	MG968158	1	Yes			USNM ENT 00832916	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Leptomydinae	Leptomydas	Leptomydas lusitanicus	USNM Curators				F				Vouchered:Registered Collection	Tissue			J.Almeida	01-Jul-2012	Portugal		Algarve		Faro, Castro Marim, Corte do Gago	37.3006	-7.5581							
ASILO	ASILO008-17	CCDB-31120-A08	BOLD:ADK9537	658[0n]	4.0	MG968079	1	Yes			USNM ENT 00891889	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Leptomydinae	Nemomydas	Nemomydas melanopogon	USNM Curators				F				Vouchered:Registered Collection	Tissue			S.W.Droege	03-Jun-2007	United States	Florida			Highlands	27.4497	-81.3739							
ASILO	ASILO009-17	CCDB-31120-A09	BOLD:ADK8706	658[0n]	4.0	MG967870	1	Yes			USNM ENT 00870619	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Leptomydinae	Pseudonomoneura		USNM Curators				M				Vouchered:Registered Collection	Tissue			T.Dikow	30-Apr-2009	United States	California	San Diego County		Anza-Borrego Desert State Park, S22, West of Borrego Springs	33.2103	-116.48100000000001	1195.0						
ASILO	ASILO010-17	CCDB-31120-A10		0[n]	4.0		1	No			USNM ENT 00915190	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Megascelinae	Megascelus	Megascelus nigricornis	USNM Curators				F				Vouchered:Registered Collection	Tissue			D.Bullock	02-Nov-1937	Chile		Malleco		Angol	-37.8	-72.7167							
ASILO	ASILO011-17	CCDB-31120-A11	BOLD:ADK9696	658[0n]	4.0	MG967775	1	Yes			USNM ENT 01443004	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Lampria		USNM Curators				F				Vouchered:Registered Collection	Tissue			D.R.Smith	18-Aug-2008	United States	West Virginia	Hardy County		3 miles Northeast Mathias	38.9167	-78.8167				-17.0		Malaise Trap	
ASILO	ASILO012-17	CCDB-31120-A12	BOLD:ADK9494	587[2n]	4.0	MG967790	1	Yes			USNM ENT 01115313	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Mydinae	Gauromydas		USNM Curators				M				Vouchered:Registered Collection	Tissue			D.Adamski	04-Sep-1989	Peru	Madre de Dios			Manu National Park, Pakitza	-11.9333	-71.3				-1.0			
ASILO	ASILO013-17	CCDB-31120-B01	BOLD:ADF9333	658[0n]	4.0	MG968236	1	Yes			USNM ENT 00832100	USNM	Smithsonian Institution National Museum of Natural History	Arthropoda	Insecta	Diptera	Mydidae	Mydinae	Messiasia	Messiasia californica	USNM Curators				M				Vouchered:Registered Collection	Tissue			T.Dikow, E.Fisher	02-May-2008	United States	Arizona			La Paz, Parker, Osborn Well Road, 1.6 km East of Route 95	34.1169	-114.257	150.0						
