Collector	Dataset Count	NamFirst	NamLast	NamMiddle
R. Aalbu	1	R.	Aalbu	
D. Adamski	1	D.	Adamski	
M. Aguirre	1	M.	Aguirre	
M. Ahmad	1	M.	Ahmad	
A. Aiello	1	A.	Aiello	
B. Akerbergs	8	B.	Akerbergs	
J. M. Aldrich	1	J.	Aldrich	M.
M. Allaire	1	M.	Allaire	
J. Almeida	2	J.	Almeida	
G. W. Angalet	1	G.	Angalet	W.
H. Aoki	1	H.	Aoki	
Aranan	1		Aranan	
N. Arias	1	N.	Arias	
E. T. Armstrong	2	E.	Armstrong	T.
M. C. S.  Arnaud	1	M.	Arnaud	C. S. 
M. M. Arnaud	15	M.	Arnaud	M.
M. Arnaud	2	M.	Arnaud	
P. H. Arnaud	13	P.	Arnaud	H.
P. H. ArnaudJr	33	P.	ArnaudJr	H.
P. H. ArnaudJr.	1	P.	ArnaudJr.	H.
E. Asceragaza	1	E.	Asceragaza	
J. S. Ascher	2	J.	Ascher	S.
J. Asher	1	J.	Asher	
J. M. Ayala	1	J.	Ayala	M.
E. B. Babyetagara	1	E.	Babyetagara	B.
D. L. Bailey	2	D.	Bailey	L.
C. F. Baker	1	C.	Baker	F.
C. H. Ballou	1	C.	Ballou	H.
A. Baptista	1	A.	Baptista	
N. Baranov	5	N.	Baranov	
W. Barkemeyer	8	W.	Barkemeyer	
Barkemeyer	1		Barkemeyer	
Barria	1		Barria	
G. Barria	2	G.	Barria	
J. E. Barriga	1	J.	Barriga	E.
R. Bastardo	8	R.	Bastardo	
K. Bayless	2	K.	Bayless	
Bayless	1		Bayless	
R. C. Bechtel	1	R.	Bechtel	C.
G. Becker	1	G.	Becker	
E. Benton	2	E.	Benton	
J. Bequaert	1	J.	Bequaert	
C. O. Berg	4	C.	Berg	O.
P. A. Berry	7	P.	Berry	A.
Berry	1		Berry	
P. Berry	1	P.	Berry	
J. Bethke	1	J.	Bethke	
L. Bevis	2	L.	Bevis	
D. J. Bickel	1	D.	Bickel	J.
R. Blakemore	1	R.	Blakemore	
F. Blancas	1	F.	Blancas	
F. S. Blanton	3	F.	Blanton	S.
J. Bogenberger	1	J.	Bogenberger	
G. E.  Bohart	1	G.	Bohart	E. 
G. E. Bohart	1	G.	Bohart	E.
L. J. Boutin	1	L.	Boutin	J.
J. Bowder	1	J.	Bowder	
J. C. Bradley	1	J.	Bradley	C.
H. Brauns	1	H.	Brauns	
Bridwell	1		Bridwell	
E. Brito	1	E.	Brito	
D. R. Brothers	1	D.	Brothers	R.
G. Brown	3	G.	Brown	
S. C. Bruner	1	S.	Bruner	C.
D. Bullock	1	D.	Bullock	
A. Burges	1	A.	Burges	
J. Burgos	1	J.	Burgos	
R. Burrell	1	R.	Burrell	
R. W. Burrell	1	R.	Burrell	W.
A. E. Bustillo	1	A.	Bustillo	E.
V. M. Carolin	1	V.	Carolin	M.
Carpenter	1		Carpenter	
R. D. Cave	1	R.	Cave	D.
T. Cekalovic	2	T.	Cekalovic	
Cekalovic	3		Cekalovic	
J. C. Chamberlin	1	J.	Chamberlin	C.
E. Chapman	1	E.	Chapman	
E. G. Chapman	2	E.	Chapman	G.
K. Chen	1	K.	Chen	
J. F. C. Clarke	1	J.	Clarke	F. C.
J. F. G. Clarke	1	J.	Clarke	F. G.
S. L. Clement	1	S.	Clement	L.
Cobb	1		Cobb	
J. Cohen	1	J.	Cohen	
E. Colque	1	E.	Colque	
S. G. Compton	1	S.	Compton	G.
N. Condon	1	N.	Condon	
R. Copeland	13	R.	Copeland	
R. S. Copeland	3	R.	Copeland	S.
M. Copperband	1	M.	Copperband	
N. Cunynghame	1	N.	Cunynghame	
D. C. Darling	1	D.	Darling	C.
G. David	1	G.	David	
D. Davidson	1	D.	Davidson	
T. H. Davies	3	T.	Davies	H.
D. Davis	11	D.	Davis	
Davis	1		Davis	
M. Davis	9	M.	Davis	
D. M. Davis	1	D.	Davis	M.
E. J. Davis	1	E.	Davis	J.
D. R. Davis	4	D.	Davis	R.
R. W. Dawson	1	R.	Dawson	W.
K. Dearborn	3	K.	Dearborn	
J. C. Deeming	1	J.	Deeming	C.
Desnurgor	1		Desnurgor	
M. Deyrup	3	M.	Deyrup	
N. Deyrup	3	N.	Deyrup	
R. E. DietzIV	1	R.	DietzIV	E.
T. Dikow	31	T.	Dikow	
H. R. Dodge	1	H.	Dodge	R.
R. R. Dreisbach	1	R.	Dreisbach	R.
G. Drewry	2	G.	Drewry	
S. W. Droege	1	S.	Droege	W.
J. Dunlap	3	J.	Dunlap	
A. Dyce	3	A.	Dyce	
G. W. Eddy	1	G.	Eddy	W.
G. Ekis	1	G.	Ekis	
D. Engleman	1	D.	Engleman	
W. R. Enns	1	W.	Enns	R.
T. L. Erwin	3	T.	Erwin	L.
C. Evers	1	C.	Evers	
R. A. Faitoute	4	R.	Faitoute	A.
P. Feliciano	1	P.	Feliciano	
R. L. Fischer	1	R.	Fischer	L.
E. M. Fisher	2	E.	Fisher	M.
J. L. Fisher	1	J.	Fisher	L.
E. Fisher	10	E.	Fisher	
O. S. Flint	5	O.	Flint	S.
Flint	4		Flint	
O. S. FlintJr	7	O.	FlintJr	S.
O. S. FlintJr.	1	O.	FlintJr.	S.
G. S. Forbes	3	G.	Forbes	S.
P. Forchhammer	2	P.	Forchhammer	
J. Fortin	2	J.	Fortin	
A. Freidberg	11	A.	Freidberg	
Freidberg	2		Freidberg	
K. E. Frick	1	K.	Frick	E.
Friedberg	1		Friedberg	
A. Friedberg	11	A.	Friedberg	
J. Friedman	1	J.	Friedman	
R. Fritz	1	R.	Fritz	
R. Froeschner	1	R.	Froeschner	
R. C. Froeschner	1	R.	Froeschner	C.
E. Froeschner	1	E.	Froeschner	
M. M. Furniss	2	M.	Furniss	M.
D. G. Furth	1	D.	Furth	G.
D. Gaimari	1	D.	Gaimari	
S. Gaimari	2	S.	Gaimari	
J. E. Garces	1	J.	Garces	E.
S. Gazit	1	S.	Gazit	
F. Geller-Grimm	2	F.	Geller-Grimm	
K. D. Ghorpade	2	K.	Ghorpade	D.
K. Ghorpade	1	K.	Ghorpade	
J. E. Gillaspy	1	J.	Gillaspy	E.
