Identifier	Dataset Count
Norman E. Woodley	51
Meredith E Miller	33
A. Scarbrough	22
Donald W. Webb	18
T. Pape	14
Hans-Peter Tschorsnig	11
S. D. Gaimari	9
C. W. Sabrosky	8
E. M. Fisher	8
Kate Perez	7
M. Hauser	7
A. G. Scarbrough	7
L. V. Knutson	6
James E. O Hara	5
T. Dikow	5
S. W. Bromley	5
A. C. Pont	4
Mark A. Metz	4
A. Estrada	4
Amnon Freidberg	3
J. R. Vockeroth	3
P. Hibbs	3
G. S. Forbes	2
S. J. Paramonov	2
S. R. Bonatto	2
O. Krober	2
William L. Murphy	2
M. E. Irwin	2
Irwin Webb	2
B. J. Sinclair	2
E. I. Schminger	2
H. R. Dodge	2
A. Nagatomi	2
A. E. Pritchard	2
N. Paramonov	2
W. W. Wirth	2
Joseph Wilcox	2
B. Merz	1
G. C. D. Griffiths	1
J. H. Guimaraes	1
A. C. Ront	1
S. Shinonaga	1
H. O. Droyd	1
Claudio Jose Barros de Carvalho	1
R. A. Harrison	1
A. Lopes	1
C. J. B. Carvalho	1
F. Zumpt	1
Eric G. Chapman	1
R. Cortes	1
J. M. Ayala	1
C.M. Sabroksy	1
J. Abercrombie	1
J. Zuska	1
L. Marinoni	1
D. Perez	1
S. W. Bullington	1
K. C. Holston	1
R. Kano	1
G. Lamas	1
M. Carrera	1
B. Stuckenberg	1
Knut Rognes	1
D. A. Fachin	1
F. Mason	1
C. Brammer	1
Rudolf Rozkosny	1
L. Kelsey	1
Robert Lavigne	1
H. A. Hespenheide	1
P. Lehr	1
G.E. Shewell	1
Terry L. Whitworth	1
Denis Brothers	1
D. G. Hall	1
D. Camras	1
J. N. Artigas	1
B. B. Sabrosky	1
D. Monty Wood	1
G. Forbes	1
Woodley	1
L. Mesnil	1
K. Gohorpade	1
Max Paul Riedel	1
V. Richter	1
R. Bastardo	1
