Phylum	Class	Order	Family	Subfamily	Genus	Scientific Name	tax_count	Species	BOLD Name	irn
Arthropoda	Insecta	Diptera	Sarcophagidae	Miltogramminae	Phrosinella	Phrosinella aurifacies	1	aurifacies	Phrosinella aurifacies	9100466
Arthropoda	Insecta	Diptera	Tachinidae	Dexiinae	Chaetoplagia	Chaetoplagia atripennis	1	atripennis	Chaetoplagia atripennis	9132109
Arthropoda	Insecta	Diptera	Sarcophagidae	Agriinae	Agria	Agria affinis	1	affinis	Agria affinis	9199856
Arthropoda	Insecta	Diptera	Acroceridae	Panopinae	Eulonchus	Eulonchus smaragdinus	1	smaragdinus	Eulonchus smaragdinus	9140991
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Cyanus	Cyanus elongatus	1	elongatus	Cyanus elongatus	9132265
Arthropoda	Insecta	Diptera	Stratiomyidae	Chrysochlorininae	Pelagomyia	Pelagomyia illucens	1	illucens	Pelagomyia illucens	9141126
Arthropoda	Insecta	Diptera	Sarcophagidae	Sarcophaginae	Cistudinomyia	Cistudinomyia cistudinis	1	cistudinis	Cistudinomyia cistudinis	9133887
Arthropoda	Insecta	Diptera	Therevidae	Therevinae	Neotabuda	Neotabuda multisetosa	1	multisetosa	Neotabuda multisetosa	9191269
Arthropoda	Insecta	Diptera	Calliphoridae	Chrysomyinae	Cochliomyia	Cochliomyia aldrichi	1	aldrichi	Cochliomyia aldrichi	9191730
Arthropoda	Insecta	Diptera	Sarcophagidae	Miltogramminae	Gymnoprosopa	Gymnoprosopa inflaticornis	1	inflaticornis	Gymnoprosopa inflaticornis	9135261
Arthropoda	Insecta	Diptera	Sciomyzidae	Sciomyzinae	Atrichomelina	Atrichomelina pubera	1	pubera	Atrichomelina pubera	9198919
Arthropoda	Insecta	Diptera	Sarcophagidae	Miltogramminae	Opsidia	Opsidia intonsa	1	intonsa	Opsidia intonsa	9135442
Arthropoda	Insecta	Diptera	Calliphoridae	Bengaliinae	Cordylobia	Cordylobia anthropophaga	1	anthropophaga	Cordylobia anthropophaga	9199709
Arthropoda	Insecta	Diptera	Oestridae	Cuterebrinae	Dermatobia	Dermatobia hominis	1	hominis	Dermatobia hominis	9199833
Arthropoda	Insecta	Diptera	Oestridae	Gasterophilinae	Gasterophilus	Gasterophilus intestinalis	1	intestinalis	Gasterophilus intestinalis	9199835
Arthropoda	Insecta	Diptera	Oestridae	Oestrinae	Oestrus	Oestrus ovis	1	ovis	Oestrus ovis	9199836
Arthropoda	Insecta	Diptera	Oestridae	Oestrinae	Rhinoestrus	Rhinoestrus purpureus	1	purpureus	Rhinoestrus purpureus	9199837
Arthropoda	Insecta	Diptera	Sciomyzidae	Sciomyzinae	Tetanura	Tetanura pallidiventris	1	pallidiventris	Tetanura pallidiventris	9199885
Arthropoda	Insecta	Diptera	Acroceridae	Panopinae	Lasia	Lasia colei	1	colei	Lasia colei	9135599
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Laphria	Laphria sicula	1	sicula	Laphria sicula	9134511
Arthropoda	Insecta	Diptera	Sarcophagidae	Sarcophaginae	Comasarcophaga	Comasarcophaga texana	1	texana	Comasarcophaga texana	9136256
Arthropoda	Insecta	Diptera	Muscidae	Coenosiinae	Pentacricia	Pentacricia aldrichii	1	aldrichii	Pentacricia aldrichii	9136278
Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Cophinopoda	Cophinopoda pulchripes	1	pulchripes	Cophinopoda pulchripes	10214349
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Polleniopsis	Polleniopsis toxopei	1	toxopei	Polleniopsis toxopei	9135951
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Afroholopogon	Afroholopogon sp.	1	unidentified	Afroholopogon unidentified	10197445
Arthropoda	Insecta	Diptera	Scathophagidae	Scathophaginae	Trichopalpus	Trichopalpus palpalis	1	palpalis	Trichopalpus palpalis	9132194
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Trichardis	Trichardis leucocoma	1	leucocoma	Trichardis leucocoma	10420176
