Phylum	Class	Order	Family	Subfamily	Genus	Scientific Name	tax_count	Species	BOLD Name
Arthropoda	Insecta	Diptera	Acroceridae	Acrocerinae	Ogcodes	Ogcodes dispar	1	dispar	Ogcodes dispar
Arthropoda	Insecta	Diptera	Acroceridae	Acrocerinae	Turbopsebius	Turbopsebius brunnipennis	1	brunnipennis	Turbopsebius brunnipennis
Arthropoda	Insecta	Diptera	Acroceridae	Panopinae	Apsona	Apsona muscaria	1	muscaria	Apsona muscaria
Arthropoda	Insecta	Diptera	Acroceridae	Philopotinae	Megalybus	Megalybus pictus	1	pictus	Megalybus pictus
Arthropoda	Insecta	Diptera	Anthomyiidae	Anthomyiinae	Lasiomma	Lasiomma collini	1	collini	Lasiomma collini
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Antipalus	Antipalus varipes	1	varipes	Antipalus varipes
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Astochia	Astochia jayarami	1	jayarami	Astochia jayarami
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Cratopoda	Cratopoda helix	1	helix	Cratopoda helix
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ctenodontina	Ctenodontina sp.	1	unidentified	Ctenodontina unidentified
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Eccritosia	Eccritosia barbata	1	barbata	Eccritosia barbata
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Eccritosia	Eccritosia sp.	1	unidentified	Eccritosia unidentified
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Efferia	Efferia picea	1	picea	Efferia picea
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Eicherax	Eicherax ricnotes	1	ricnotes	Eicherax ricnotes
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Filiolus	Filiolus graminicola	1	graminicola	Filiolus graminicola
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Glaphyropyga	Glaphyropyga dryas	1	dryas	Glaphyropyga dryas
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Hoplopheromerus	Hoplopheromerus hirtiventris	1	hirtiventris	Hoplopheromerus hirtiventris
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Lochmorhynchus	Lochmorhynchus borrori	1	borrori	Lochmorhynchus borrori
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Lochyrus	Lochyrus frezieri	1	frezieri	Lochyrus frezieri
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Lycomya	Lycomya germainii	1	germainii	Lycomya germainii
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Mallophora	Mallophora orcina	2	orcina	Mallophora orcina
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Mauropteron	Mauropteron pelago	1	pelago	Mauropteron pelago
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Myaptex	Myaptex virilis	1	virilis	Myaptex virilis
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Negasilus	Negasilus astutus	1	astutus	Negasilus astutus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Neoaratus	Neoaratus hercules	2	hercules	Neoaratus hercules
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Neolophonotus	Neolophonotus pulcher	1	pulcher	Neolophonotus pulcher
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Neomochtherus	Neomochtherus auricomus	1	auricomus	Neomochtherus auricomus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Oligoschema	Oligoschema nuda	1	nuda	Oligoschema nuda
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius dilatipennis	1	dilatipennis	Ommatius dilatipennis
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius excurrens	1	excurrens	Ommatius excurrens
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius kempi	1	kempi	Ommatius kempi
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius persuasus	1	persuasus	Ommatius persuasus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius politus	1	politus	Ommatius politus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius spinalis	1	spinalis	Ommatius spinalis
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Orophotus	Orophotus mandarinus	1	mandarinus	Orophotus mandarinus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Paritamus	Paritamus variabilis	1	variabilis	Paritamus variabilis
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Polacantha	Polacantha composita	1	composita	Polacantha composita
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Proctacanthus	Proctacanthus darlingtoni	1	darlingtoni	Proctacanthus darlingtoni
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Proctacanthus	Proctacanthus dominicana	2	dominicana	Proctacanthus dominicana
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus cothurnatus	1	cothurnatus	Promachus cothurnatus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus fraterculus	1	fraterculus	Promachus fraterculus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus giganteus	1	giganteus	Promachus giganteus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus leoninus	1	leoninus	Promachus leoninus
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Regasilus	Regasilus blantoni	1	blantoni	Regasilus blantoni
