Phylum	Class	Order	Family	Subfamily	Genus	Scientific Name	tax_count	Species	BOLD Name	gbif_authorship
Arthropoda	Insecta	Diptera	Acroceridae	Acrocerinae	Ogcodes	Ogcodes dispar	1	dispar	Ogcodes dispar	 (Macquart, 1855)
Arthropoda	Insecta	Diptera	Acroceridae	Acrocerinae	Turbopsebius	Turbopsebius brunnipennis	1	brunnipennis	Turbopsebius brunnipennis	 (Sabrosky, 1948)
Arthropoda	Insecta	Diptera	Acroceridae	Panopinae	Apsona	Apsona muscaria	1	muscaria	Apsona muscaria	Westwood, 1876
Arthropoda	Insecta	Diptera	Acroceridae	Philopotinae	Megalybus	Megalybus pictus	1	pictus	Megalybus pictus	Philippi, 1865
Arthropoda	Insecta	Diptera	Anthomyiidae	Anthomyiinae	Lasiomma	Lasiomma collini	1	collini	Lasiomma collini	 (Ringdahl, 1929)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Antipalus	Antipalus varipes	1	varipes	Antipalus varipes	 (Meigen, 1820)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Astochia	Astochia jayarami	1	jayarami	Astochia jayarami	Joseph & Parui, 1981
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Cratopoda	Cratopoda helix	1	helix	Cratopoda helix	 (Bromley, 1935)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Eccritosia	Eccritosia barbata	1	barbata	Eccritosia barbata	 (Fabricius, 1787)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Efferia	Efferia picea	1	picea	Efferia picea	Scarbrough & Perez-Gelabert, 2009
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Eicherax	Eicherax ricnotes	1	ricnotes	Eicherax ricnotes	 (Engel, 1930)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Filiolus	Filiolus graminicola	1	graminicola	Filiolus graminicola	 (Lehr, 1958)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Glaphyropyga	Glaphyropyga dryas	1	dryas	Glaphyropyga dryas	Fisher, 1982
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Hoplopheromerus	Hoplopheromerus hirtiventris	1	hirtiventris	Hoplopheromerus hirtiventris	Becker, 1925
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Lochmorhynchus	Lochmorhynchus borrori	1	borrori	Lochmorhynchus borrori	Artigas, 1970
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Lochyrus	Lochyrus frezieri	1	frezieri	Lochyrus frezieri	Artigas, 1970
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Lycomya	Lycomya germainii	1	germainii	Lycomya germainii	Bigot, 1857
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Mallophora	Mallophora orcina	2	orcina	Mallophora orcina	 (Wiedemann, 1828)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Mauropteron	Mauropteron pelago	1	pelago	Mauropteron pelago	 (Walker, 1849)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Myaptex	Myaptex virilis	1	virilis	Myaptex virilis	Artigas, 1970
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Negasilus	Negasilus astutus	1	astutus	Negasilus astutus	 (Williston, 1893)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Neoaratus	Neoaratus hercules	2	hercules	Neoaratus hercules	 (Wiedemann, 1828)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Neolophonotus	Neolophonotus pulcher	1	pulcher	Neolophonotus pulcher	 (Loew, 1858)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Neomochtherus	Neomochtherus auricomus	1	auricomus	Neomochtherus auricomus	 (Hine, 1909)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Oligoschema	Oligoschema nuda	1	nuda	Oligoschema nuda	Becker, 1925
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius dilatipennis	1	dilatipennis	Ommatius dilatipennis	Wulp, 1872
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius excurrens	1	excurrens	Ommatius excurrens	Wulp, 1872
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius kempi	1	kempi	Ommatius kempi	Joseph & Parui, 1983
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius persuasus	1	persuasus	Ommatius persuasus	Oldroyd, 1960
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius politus	1	politus	Ommatius politus	Scarbrough & Marascia, 2000
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius spinalis	1	spinalis	Ommatius spinalis	Scarbrough & Marascia, 1996
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Orophotus	Orophotus mandarinus	1	mandarinus	Orophotus mandarinus	 (Bromley, 1928)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Paritamus	Paritamus variabilis	1	variabilis	Paritamus variabilis	 (Lehr, 1964)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Polacantha	Polacantha composita	1	composita	Polacantha composita	 (Hine, 1918)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Proctacanthus	Proctacanthus darlingtoni	1	darlingtoni	Proctacanthus darlingtoni	Curran, 1951
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Proctacanthus	Proctacanthus dominicana	2	dominicana	Proctacanthus dominicana	Curran, 1951
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus cothurnatus	1	cothurnatus	Promachus cothurnatus	 (Bigot, 1859)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus fraterculus	1	fraterculus	Promachus fraterculus	 (Walker, 1855)
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus giganteus	1	giganteus	Promachus giganteus	Hine, 1911
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus leoninus	1	leoninus	Promachus leoninus	Loew, 1848
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Regasilus	Regasilus blantoni	1	blantoni	Regasilus blantoni	Bromley, 1951
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Scarbroughia	Scarbroughia delicatula	1	delicatula	Scarbroughia delicatula	 (Hine, 1918)
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Archilestris	Archilestris excellens	1	excellens	Archilestris excellens	Enderlein, 1914
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Dasypogon	Dasypogon atratus	1	atratus	Dasypogon atratus	 (Fabricius, 1794)
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Deromyia	Deromyia fuscipennis	1	fuscipennis	Deromyia fuscipennis	 (Blanchard, 1852)
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Molobratia	Molobratia japonica	1	japonica	Molobratia japonica	 (Bigot, 1878)
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Neolaparus	Neolaparus banana	2	banana	Neolaparus banana	Curran, 1927
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Nicocles	Nicocles utahensis	1	utahensis	Nicocles utahensis	Banks, 1920
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Stenopogon	Stenopogon elizabethae	1	elizabethae	Stenopogon elizabethae	Martin, 1968
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Andrenosoma	Andrenosoma formidolosa	1	formidolosa	Andrenosoma formidolosa	 (Walker, 1860)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Andrenosoma	Andrenosoma fulvicaudum	2	fulvicaudum	Andrenosoma fulvicaudum	 (Say, 1823)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Anoplothyrea	Anoplothyrea indiana	1	indiana	Anoplothyrea indiana	Joseph & Parui, 1987
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Atomosia	Atomosia anacaona	1	anacaona	Atomosia anacaona	Scarbrough & Perez-Gelabert, 2006
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Atomosia	Atomosia ciguaya	1	ciguaya	Atomosia ciguaya	Scarbrough & Perez-Gelabert, 2006
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Atomosia	Atomosia jagua	1	jagua	Atomosia jagua	Scarbrough & Perez-Gelabert, 2006
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Ctenota	Ctenota molitrix	1	molitrix	Ctenota molitrix	Loew, 1873
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Cyanonedys	Cyanonedys leucura	1	leucura	Cyanonedys leucura	Hermann, 1912
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Dasyllis	Dasyllis haemorrhoa	1	haemorrhoa	Dasyllis haemorrhoa	 (Wiedemann, 1830)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Lamprozona	Lamprozona auricincta	1	auricincta	Lamprozona auricincta	 (Loew, 1851)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Laphria	Laphria divisor	1	divisor	Laphria divisor	 (Banks, 1917)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Laphria	Laphria flavicollis	1	flavicollis	Laphria flavicollis	Say, 1824
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Laphria	Laphria signatipes	1	signatipes	Laphria signatipes	Wulp, 1872
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Maira	Maira aurifacies	1	aurifacies	Maira aurifacies	 (Macquart, 1848)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Martinomyia	Martinomyia scalaris	1	scalaris	Martinomyia scalaris	 (Hermann, 1908)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Oidardis	Oidardis aveledoi	1	aveledoi	Oidardis aveledoi	Kaletta, 1978
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Pogonosoma	Pogonosoma dorsatum	1	dorsatum	Pogonosoma dorsatum	 (Say, 1824)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Psilocurus	Psilocurus birdi	1	birdi	Psilocurus birdi	Curran, 1931
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Smeryngolaphria	Smeryngolaphria maculipennis	1	maculipennis	Smeryngolaphria maculipennis	 (Macquart, 1846)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Storthyngomerus	Storthyngomerus tridentatus	1	tridentatus	Storthyngomerus tridentatus	 (Fabricius, 1805)
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Triclioscelis	Triclioscelis perfecta	1	perfecta	Triclioscelis perfecta	Curran, 1934
Arthropoda	Insecta	Diptera	Asilidae	Laphystiinae	Laphystia	Laphystia texensis	1	texensis	Laphystia texensis	Curran, 1931
Arthropoda	Insecta	Diptera	Asilidae	Laphystiinae	Zabrops	Zabrops thologaster	1	thologaster	Zabrops thologaster	Fisher, 1977
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Apachekolos	Apachekolos volubilis	1	volubilis	Apachekolos volubilis	Scarbrough & Perez-Gelabert, 2005
Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Pseudomerodontina	Pseudomerodontina alata	1	alata	Pseudomerodontina alata	Scarbrough & Hill, 2000
Arthropoda	Insecta	Diptera	Asilidae	Phellinae	Phellus	Phellus glaucus	1	glaucus	Phellus glaucus	Walker, 1851
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Amblyonychus	Amblyonychus trapezoidalis	1	trapezoidalis	Amblyonychus trapezoidalis	 (Bellardi, 1861)
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Blepharotes	Blepharotes splendidissimus	1	splendidissimus	Blepharotes splendidissimus	 (Wiedemann, 1830)
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Coleomyia	Coleomyia alticola	1	alticola	Coleomyia alticola	James, 1941
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Creolestes	Creolestes nigribarbis	1	nigribarbis	Creolestes nigribarbis	 (Philippi, 1865)
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Holopogon	Holopogon niveoscutum	1	niveoscutum	Holopogon niveoscutum	Hull, 1967
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Microstylum	Microstylum nigricuada	1	nigricuada	Microstylum nigricuada	 (Wiedemann, 1824)
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Neodysmachus	Neodysmachus setithoracicus	1	setithoracicus	Neodysmachus setithoracicus	Ricardo, 1925
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Plesiomma	Plesiomma inflatum	1	inflatum	Plesiomma inflatum	Hull, 1962
Arthropoda	Insecta	Diptera	Asilidae	Tillobromatinae	Hypenetes	Hypenetes digitatus	1	digitatus	Hypenetes digitatus	Artigas, 1970
Arthropoda	Insecta	Diptera	Calliphoridae	Ameniinae	Amenia	Amenia leonina	1	leonina	Amenia leonina	 (Fabricius, 1775)
Arthropoda	Insecta	Diptera	Calliphoridae	Ameniinae	Paramenia	Paramenia semiauriceps	1	semiauriceps	Paramenia semiauriceps	Brauer & Bergenstamm, 1889
Arthropoda	Insecta	Diptera	Calliphoridae	Ameniinae	Platytropesa	Platytropesa auriceps	1	auriceps	Platytropesa auriceps	Macquart, 1851
Arthropoda	Insecta	Diptera	Calliphoridae	Bengaliinae	Bengalia	Bengalia gaillardi	1	gaillardi	Bengalia gaillardi	Sourcouf & Guyon, 1912
Arthropoda	Insecta	Diptera	Calliphoridae	Bengaliinae	Hemigymnochaeta	Hemigymnochaeta unicolor	1	unicolor	Hemigymnochaeta unicolor	 (Bigot, 1888)
Arthropoda	Insecta	Diptera	Calliphoridae	Bengaliinae	Pachychoeromyia	Pachychoeromyia praegrandis	1	praegrandis	Pachychoeromyia praegrandis	 (Austen, 1910)
Arthropoda	Insecta	Diptera	Calliphoridae	Bengaliinae	Tricyclea	Tricyclea fasciata	1	fasciata	Tricyclea fasciata	 (Macquart, 1843)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Bellardia	Bellardia viarum	1	viarum	Bellardia viarum	 (Robineau-Desvoidy, 1830)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Calliphora	Calliphora aldrichia	1	aldrichia	Calliphora aldrichia	 (Shannon, 1923)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Euphumosia	Euphumosia papua	1	papua	Euphumosia papua	 (Guerin-Meneville, 1831)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Ochromelinda	Ochromelinda thoracica	1	thoracica	Ochromelinda thoracica	 (Villeneuve, 1934)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Onesiomima	Onesiomima pamirica	1	pamirica	Onesiomima pamirica	Rohdendorf, 1962
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Pericallimyia	Pericallimyia perlata	1	perlata	Pericallimyia perlata	 (Walker, 1861)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Phumosia	Phumosia abdominalis	1	abdominalis	Phumosia abdominalis	Robineau-Desvoidy, 1830
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Phumosia	Phumosia indica	1	indica	Phumosia indica	 (Surcouf, 1914)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Pollenia	Pollenia flava	1	flava	Pollenia flava	 (Aldrich, 1930)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Ptilonesia	Ptilonesia auronotata	1	auronotata	Ptilonesia auronotata	 (Macquart, 1855)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Tainanina	Tainanina pilisquama	1	pilisquama	Tainanina pilisquama	 (Senior-White, 1925)
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Xenocalliphora	Xenocalliphora hortona	1	hortona	Xenocalliphora hortona	 (Walker, 1849)
Arthropoda	Insecta	Diptera	Calliphoridae	Chrysomyinae	Chrysomya	Chrysomya inclinata	1	inclinata	Chrysomya inclinata	Walker, 1861
Arthropoda	Insecta	Diptera	Calliphoridae	Chrysomyinae	Paralucilia	Paralucilia adespota	1	adespota	Paralucilia adespota	Dear, 1985
Arthropoda	Insecta	Diptera	Calliphoridae	Luciliinae	Dyscritomyia	Dyscritomyia lucilioides	1	lucilioides	Dyscritomyia lucilioides	 (Grimshaw, 1901)
Arthropoda	Insecta	Diptera	Calliphoridae	Luciliinae	Hypopygiopsis	Hypopygiopsis tumrasvini	1	tumrasvini	Hypopygiopsis tumrasvini	Kurahashi, 1977
Arthropoda	Insecta	Diptera	Calliphoridae	Melanomyinae	Melanomya	Melanomya nana	1	nana	Melanomya nana	 (Meigen, 1826)
Arthropoda	Insecta	Diptera	Calliphoridae	Melanomyinae	Melinda	Melinda cognata	1	cognata	Melinda cognata	 (Meigen, 1830)
Arthropoda	Insecta	Diptera	Calliphoridae	Melanomyinae	Melinda	Melinda pusilla	1	pusilla	Melinda pusilla	 (Villeneuve, 1927)
Arthropoda	Insecta	Diptera	Calliphoridae	Mesembrinellinae	Eumesembrinella	Eumesembrinella randa	1	randa	Eumesembrinella randa	Walker, 1849
Arthropoda	Insecta	Diptera	Calliphoridae	Mesembrinellinae	Mesembrinella	Mesembrinella batesi	1	batesi	Mesembrinella batesi	Aldrich, 1922
Arthropoda	Insecta	Diptera	Calliphoridae	Polleniinae	Morinia	Morinia doronici	1	doronici	Morinia doronici	 (Scopoli, 1763)
Arthropoda	Insecta	Diptera	Conopidae	Conopinae	Australoconops	Australoconops splendidus	1	splendidus	Australoconops splendidus	 (Krober, 1916)
Arthropoda	Insecta	Diptera	Conopidae	Conopinae	Leopoldius	Leopoldius coronatus	1	coronatus	Leopoldius coronatus	 (Rondani, 1857)
Arthropoda	Insecta	Diptera	Conopidae	Conopinae	Tropidomyia	Tropidomyia bimaculata	1	bimaculata	Tropidomyia bimaculata	Williston, 1888
Arthropoda	Insecta	Diptera	Conopidae	Myopinae	Melanosoma	Melanosoma bicolor	1	bicolor	Melanosoma bicolor	 (Meigen, 1824)
Arthropoda	Insecta	Diptera	Muscidae	Azeliinae	Passeromyia	Passeromyia heterochaeta	1	heterochaeta	Passeromyia heterochaeta	 (Villeneuve, 1915)
Arthropoda	Insecta	Diptera	Muscidae	Azeliinae	Potamia	Potamia scabra	1	scabra	Potamia scabra	 (Giglio-Tos, 1893)
Arthropoda	Insecta	Diptera	Muscidae	Azeliinae	Rhinomusca	Rhinomusca dutoiti	1	dutoiti	Rhinomusca dutoiti	Zumpt, 1950
Arthropoda	Insecta	Diptera	Muscidae	Coenosiinae	Tetramerinx	Tetramerinx unica	1	unica	Tetramerinx unica	 (Stein, 1898)
Arthropoda	Insecta	Diptera	Muscidae	Cyrtoneurininae	Pseudoptilolepis	Pseudoptilolepis fulvapoda	1	fulvapoda	Pseudoptilolepis fulvapoda	Snyder, 1949
