Phylum	Class	Order	Family	Subfamily	Genus	Scientific Name	tax_count	Species	BOLD Name	gbif_authorship
Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Emphysomera	Emphysomera nigra	2	nigra	Emphysomera nigra	
Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Longibeccus	Longibeccus fuscovittatus	1	fuscovittatus	Longibeccus fuscovittatus	
Arthropoda	Insecta	Diptera	Calliphoridae	Ameniinae	Stilbomyella	Stilbomyella nigrocostalis	1	nigrocostalis	Stilbomyella nigrocostalis	
Arthropoda	Insecta	Diptera	Calliphoridae	Mesembrinellinae	Souzalopesiella	Souzalopesiella facialis	1	facialis	Souzalopesiella facialis	
Arthropoda	Insecta	Diptera	Muscidae	Coenosiinae	Syllimnophora	Syllimnophora atrovottata	1	atrovottata	Syllimnophora atrovottata	
Arthropoda	Insecta	Diptera	Sarcophagidae	Paramacronychiinae	Galapagomyia	Galapagomyia inoa	1	inoa	Galapagomyia inoa	
Arthropoda	Insecta	Diptera	Sarcophagidae	Sarcophaginae	Pachygraphia	Pachygraphia rufocaudatata	1	rufocaudatata	Pachygraphia rufocaudatata	
Arthropoda	Insecta	Diptera	Sarcophagidae	Sarcophaginae	Tulaeopoda	Tulaeopoda inchoata	1	inchoata	Tulaeopoda inchoata	
Arthropoda	Insecta	Diptera	Stratiomyidae	Sarginae	Ptectisargus	Ptectisargus flavomarginatus	1	flavomarginatus	Ptectisargus flavomarginatus	
Arthropoda	Insecta	Diptera	Tachinidae	Dexiinae	Epigrimyia	Epigrimyia illinoensis	1	illinoensis	Epigrimyia illinoensis	
Arthropoda	Insecta	Diptera	Tachinidae	Exoristinae	Chetogena	Chetogena tessellata	1	tessellata	Chetogena tessellata	
Arthropoda	Insecta	Diptera	Tachinidae	Exoristinae	Lydinolydella	Lydinolydella rasilis	1	rasilis	Lydinolydella rasilis	
Arthropoda	Insecta	Diptera	Tachinidae	Phasiinae	Acaulona	Acaulona costata	1	costata	Acaulona costata	
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Chlorotachina	Chlorotachina froggatti	1	froggatti	Chlorotachina froggatti	
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Parthenoleskia	Parthenoleskia parkei	1	parkei	Parthenoleskia parkei	
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Rhinomyiobia	Rhinomyiobia minuta	1	minuta	Rhinomyiobia minuta	
Arthropoda	Insecta	Diptera	Therevidae	Therevinae	Cerocatus	Cerocatus scutellaris	1	scutellaris	Cerocatus scutellaris	
