NamBriefName,NamFirst,NamLast,NamMiddle,NamRoles_tab(1)
J. Abercrombie,J.,Abercrombie,,Identifier
Achoy,,Achoy,,Author
D. Adamski,D.,Adamski,,Collector
M. Aguirre,M.,Aguirre,,Collector
M. Ahmad,M.,Ahmad,,Collector
A. Aiello,A.,Aiello,,Collector
M. Allaire,M.,Allaire,,Collector
J. Almeida,J.,Almeida,,Collector
G. W. Angalet,G.,Angalet,W.,Collector
H. Aoki,H.,Aoki,,Collector
Aranan,,Aranan,,Collector
N. Arias,N.,Arias,,Collector
E. T. Armstrong,E.,Armstrong,T.,Collector
M. Arnaud,M.,Arnaud,,Collector
P. H. Arnaud,P.,Arnaud,H.,Collector
M. C. S.  Arnaud,M.,Arnaud,C. S. ,Collector
P. H. ArnaudJr,P.,ArnaudJr,H.,Collector
P. H. ArnaudJr.,P.,ArnaudJr.,H.,Collector
J. N. Artigas,J.,Artigas,N.,Identifier
E. Asceragaza,E.,Asceragaza,,Collector
J. Asher,J.,Asher,,Collector
J. M. Ayala,J.,Ayala,M.,Collector
J. M. Ayala,J.,Ayala,M.,Identifier
E. B. Babyetagara,E.,Babyetagara,B.,Collector
D. L. Bailey,D.,Bailey,L.,Collector
A. Baptista,A.,Baptista,,Collector
N. Baranov,N.,Baranov,,Collector
W. Barkemeyer,W.,Barkemeyer,,Collector
Barkemeyer,,Barkemeyer,,Collector
G. Barria,G.,Barria,,Collector
J. E. Barriga,J.,Barriga,E.,Collector
R. Bastardo,R.,Bastardo,,Collector
R. Bastardo,R.,Bastardo,,Identifier
K. Bayless,K.,Bayless,,Collector
G. Becker,G.,Becker,,Collector
J. Bequaert,J.,Bequaert,,Collector
P. Berry,P.,Berry,,Collector
J. Bethke,J.,Bethke,,Collector
L. Bevis,L.,Bevis,,Collector
D. J. Bickel,D.,Bickel,J.,Collector
R. Blakemore,R.,Blakemore,,Collector
F. Blancas,F.,Blancas,,Collector
J. Bogenberger,J.,Bogenberger,,Collector
G. E.  Bohart,G.,Bohart,E. ,Collector
S. R. Bonatto,S.,Bonatto,R.,Identifier
L. J. Boutin,L.,Boutin,J.,Collector
J. Bowder,J.,Bowder,,Collector
Brammer,,Brammer,,Author
C. Brammer,C.,Brammer,,Identifier
H. Brauns,H.,Brauns,,Collector
E. Brito,E.,Brito,,Collector
S. W. Bromley,S.,Bromley,W.,Identifier
D. R. Brothers,D.,Brothers,R.,Collector
Denis Brothers,Denis,Brothers,,Identifier
G. Brown,G.,Brown,,Collector
S. W. Bullington,S.,Bullington,W.,Identifier
A. Burges,A.,Burges,,Collector
